,source,values,pvalues,target,source cell type,target cell type,CT
1234,EFNB2,0.09141390206215011,0.0,PAK1,NG2,Ependymal,10
199,NRG1,0.073077239916198,0.0,MAPK8,NG2,Ependymal,10
3085,AGT,0.5736114398476264,0.724,SGK1,NG2,Endothelial,10
3067,AGT,0.533293262195637,0.0,PLCB1,NG2,Endothelial,10
2671,AVP,0.38280078266568046,1.0,ADRB2,NG2,Endothelial,10
1585,PCNA,0.36150282639525566,0.0,DNMT1,NG2,Endothelial,10
1399,BMP2,0.1180973157124359,0.0,FGFR3,NG2,Endothelial,10
3521,BMP2,0.07118316470184867,0.0,CDH11,NG2,Endothelial,10
1234,EFNB2,0.06784121209081685,0.0,PAK1,NG2,Endothelial,10
2356,EFNB2,0.5915728761548715,0.0,KRAS,NG2,Microglia,10
4034,AVP,0.3649157277784813,1.0,ADCYAP1R1,NG2,Microglia,10
2297,TGFB2,0.12901700176135372,0.015,MAP3K7,NG2,Microglia,10
3085,AGT,1.8898532355830022,0.0,SGK1,NG2,Oligodendrocytes,10
1247,EFNB2,0.44762758574685496,0.0,EPHB1,NG2,Oligodendrocytes,10
3777,TGFB2,0.368450615323163,0.0,PLAT,NG2,Oligodendrocytes,10
3067,AGT,0.17334158448571318,0.218,PLCB1,NG2,Oligodendrocytes,10
3732,BMP2,0.08764107783212943,0.0,BMPR1A,NG2,Oligodendrocytes,10
3856,EFNB2,0.07010787202030236,1.0,GRM5,NG2,Oligodendrocytes,10
820,PDGFA,0.5413195766145383,0.0,IGF1R,NG2,Neurons2,10
3625,CD70,0.27373877612093084,0.0,GPRC5B,NG2,Neurons2,10
1272,DUSP18,0.24759897454852994,0.0,ITGB8,NG2,Neurons2,10
3856,EFNB2,0.23981329763482168,0.0,GRM5,NG2,Neurons2,10
1739,NRG1,0.18458313151742337,0.0,AR,NG2,Neurons2,10
1247,EFNB2,0.18029865345068563,0.129,EPHB1,NG2,Neurons2,10
1205,EFNB2,0.16639824418616808,0.0,GRM1,NG2,Neurons2,10
216,GHR,0.10538272296151316,0.0,TYK2,NG2,Neurons2,10
3772,HHIP,0.1032319943956179,0.0,SHH,NG2,Neurons2,10
1399,BMP2,0.08063767776048578,0.0,FGFR3,NG2,Neurons2,10
2068,CCL25,0.0715259390662849,0.0,CX3CR1,NG2,Neurons2,10
3732,BMP2,0.06822996207581113,0.001,BMPR1A,NG2,Neurons2,10
3881,EDN3,1.2620648518308184,0.0,EDNRB,Endothelial,Ependymal,10
578,VCAM1,0.6748172803426582,0.0,ITGB1,Endothelial,Ependymal,10
597,JAM3,0.670583057401962,0.0,ITGB1,Endothelial,Ependymal,10
