,TF,target,importance
43,Fos,Ier2,40.49696908614481
72,Klf9,Gm15440,40.47840159394701
44,Fosb,Klf4,40.43266288023929
86,Mycl,Matn4,40.188536255777656
154,Tsc22d1,Ncald,39.996722618750006
154,Tsc22d1,Dynll2,39.876133091843585
86,Mycl,Ncald,39.81216990230557
44,Fosb,Ubc,39.790797723174414
157,Tub,Gria2,39.49639430222967
33,Egr1,Neat1,39.45666148221119
154,Tsc22d1,Timp4,39.2855683250629
67,Jun,Arc,38.90345981885805
94,Nkx2-2,3110035E14Rik,38.840270035437655
154,Tsc22d1,Basp1,38.76049527907149
136,Sox6,Rnf128,37.95985591527191
154,Tsc22d1,Chd3,37.6627904996892
154,Tsc22d1,Rnf128,37.55884486782521
149,Tef,Hmgcs1,37.50844842939856
160,Zbtb16,Hsph1,37.40918092904676
94,Nkx2-2,Susd5,37.36403637908901
136,Sox6,Fabp7,37.26150973482888
86,Mycl,Mex3b,37.218638708854826
86,Mycl,Acsl3,37.11698838399901
69,Klf4,Junb,37.05663817974381
67,Jun,Klf6,36.96983004230032
154,Tsc22d1,Tns3,36.96644509938233
157,Tub,Chd3,36.893871559121976
67,Junb,Ddit3,36.671235904035704
67,Jun,Junb,36.47891181506688
67,Jun,Dusp1,36.45070718394002
136,Sox6,Bex2,36.22371646714531
68,Junb,Tubb4b,36.187175409129054
136,Sox6,Plcb1,36.05541303619648
86,Mycl,Sepp1,36.02542331777195
157,Tub,Bex2,36.0170414857435
72,Klf9,Chn2,35.83328307599021
94,Nkx2-2,Nrcam,35.81380470469112
86,Mycl,Chn2,35.71976968295368
136,Sox6,Fam174b,35.5525736061021
86,Mycl,Arap2,35.48776971978258
43,Fos,Zfp36,35.2415162389212
67,Jun,Hspa5,35.206237631329074
136,Sox6,Glul,35.205898006998716
89,Myt1l,Tubb2a,35.13427559760124
86,Mycl,Tuba1a,35.04689711430732
43,Fos,Hspa5,35.04539264099139
32,Egr1,Atf3,34.83321315137882
26,Dbp,Sgk1,34.81091595343554
94,Nkx2-2,Tubb2b,34.79453896522109
149,Tef,Neat1,34.71336923364739
44,Fosb,Arc,34.63677131895031
67,Junb,Jun,34.48215337073178
157,Tub,Basp1,34.39310477758071
94,Nkx2-2,Trio,34.36413970774121
89,Myt1l,Vgf,34.26806254007466
68,Junb,Hmgcs1,34.20644147251624
53,Gsx1,Lhfpl3,34.14551923933644
136,Sox6,Lrrtm2,34.10325977289762
103,Nr4a1,Mycl,33.9568756145558
154,Tsc22d1,S100a1,33.92480569305621
86,Mycl,Il33,33.893586392420396
67,Junb,Atf3,33.880691117954726
33,Egr1,Glul,33.7596655688787
154,Tsc22d1,Ccnd1,33.70280574812742
9,Atf3,Dnajb1,33.515192813230584
160,Zbtb16,Phactr3,33.48610687427091
136,Sox6,Chn2,33.402621055311315
86,Mycl,Myo10,33.378416982751254
66,Irx1,Fabp7,33.367000216483035
44,Fosb,Tnfaip6,33.15891059777049
154,Tsc22d1,Abtb2,32.91687774413256
111,Pou3f2,Basp1,32.910974624185904
33,Egr1,Tubb4b,32.75033602826714
69,Klf4,Fosb,32.46949058723049
136,Sox6,Slc35f1,32.45628337411769
86,Mycl,Lrrtm2,32.40461748797907
154,Tsc22d1,Aprt,32.356883370760514
43,Fos,Hspa1a,32.354590120490684
94,Nkx2-2,Susd4,32.31908803757559
86,Mycl,Igsf8,32.277051360503144
99,Nr1d2,Ubc,32.012858927442714
154,Tsc22d1,9530059O14Rik,31.97632401766446
44,Fosb,Per1,31.936825424697236
86,Mycl,Nfasc,31.818462529320367
157,Tub,Scg2,31.779701608934772
160,Zbtb16,Hmgcs1,31.641351984625068
86,Mycl,Nr4a1,31.630188419500186
154,Tsc22d1,Ina,31.621000492667658
136,Sox6,Man1a2,31.455540479979586
154,Tsc22d1,Ppfibp1,31.4285858633125
26,Dbp,Gm42644,31.26622651403213
66,Irx1,Ccnd1,31.225524213217497
94,Nkx2-2,Gria3,31.14244529147112
44,Fosb,Insig1,31.110803402613595
94,Nkx2-2,Epb41l2,31.047577142997078
67,Jun,Tnfaip6,30.73402463896767
94,Nkx2-2,S100a13,30.728255293584127
67,Jun,Hspa4l,30.38226527295626
33,Egr1,Insig1,30.283521525458966
86,Mycl,Rbm28,30.255240307166968
99,Nr1d2,Tmod2,30.041928741030958
154,Tsc22d1,Plat,29.806589228738417
160,Zbtb16,Acsl3,29.59444108803257
44,Fosb,Il33,29.56562604408838
154,Tsc22d1,Tmem163,29.474432688647067
154,Tsc22d1,Anln,29.312329555089907
70,Klf4,Btg2,29.1424443885831
99,Nr1d2,Tppp3,29.086090917013962
156,Tub,Nkx2-2,29.04886921926683
