,TF,target,importance
149,Tef,Slc25a20,0.9569072355287336
26,Dbp,Ccdc88a,0.956847291113694
72,Klf9,Ston1,0.9566981497228743
13,Bcl6,Dek,0.9564823581713119
33,Egr1,Bptf,0.9564545214922502
21,Csrnp3,Clic1,0.9564474398844548
94,Nkx2-2,Zfp36,0.956428857081028
78,Mbd4,Ptpre,0.956285735768743
111,Pou3f2,Lsg1,0.9559455836604712
13,Bcl6,Gm37645,0.9556486907955976
136,Sox6,Vipr2,0.9554803884283031
70,Klf4,Rbm28,0.9554733838693971
67,Jun,Smoc1,0.9554366443754915
20,Creb1,Gab2,0.9553775954526743
98,Nr1d1,Golga4,0.9553296578116511
158,Tulp3,Casp8ap2,0.9552971070527484
172,Zfp292,Vamp5,0.9551404461918886
43,Fos,Bmpr1a,0.9551260253119803
68,Junb,Cldn5,0.9549561211299609
13,Bcl6,Tppp3,0.9548353657674845
67,Jun,Mtcl1,0.954506430977067
71,Klf6,Casp8ap2,0.9543678459195081
72,Klf9,Tapbp,0.9542114624615967
94,Nkx2-2,H2-D1,0.9540523670289293
150,Thrb,Fut9,0.95403639430288
183,Zfp551,Dynll2,0.9539517230624185
20,Creb1,Per1,0.9538414189563243
175,Zfp318,Git2,0.9533931155362724
154,Tsc22d1,Smyd5,0.9532639063581082
67,Jun,Pdzd2,0.9529891095735151
43,Fos,Zfp930,0.9529886215620741
86,Mycl,Smc6,0.9529176821368637
77,Mafb,Bricd5,0.9529144801482509
53,Gsx1,Bod1l,0.9528081751790306
99,Nr1d2,Pank1,0.9526163026467496
96,Npas3,Aldh2,0.9523604297568133
20,Creb1,Bsg,0.9523154045468517
136,Sox6,Fam189a2,0.952296276788488
9,Atf3,Aldoc,0.9522851767715796
85,Mybl1,Erich1,0.9520532322542724
53,Gsx1,Ezh2,0.9516586574666608
109,Pknox2,Utp3,0.9511413781385851
44,Fosb,Nat8l,0.9509599668908569
156,Ttf1,Rnf128,0.9508852040702305
20,Creb1,Frat2,0.9508379567292539
160,Zbtb16,Gm5292,0.9508349854296041
203,Zfp930,Mt2,0.9508200388047534
66,Irx1,Gxylt1,0.9504386146005498
94,Nkx2-2,A230001M10Rik,0.9503915125739696
213,Zfx,Insig1,0.9502054013189031
70,Klf4,Phactr3,0.9501003633578881
154,Tsc22d1,Dnajb1,0.9499994655439242
72,Klf9,Gab2,0.9499807477797276
213,Zfx,Akap17b,0.9496955766593792
96,Npas3,Mt3,0.9496886885502261
99,Nr1d2,Ptpre,0.949078177609955
44,Fosb,Cep164,0.9490603659868707
183,Zfp551,March1,0.9488723365402199
94,Nkx2-2,Arhgef6,0.9487124762118697
66,Irx1,Slc38a2,0.9484634354937586
70,Klf4,Ngfrap1,0.9484246507268778
154,Tsc22d1,Pdzd2,0.9482634432469769
26,Dbp,C920006O11Rik,0.9480710981071332
20,Creb1,Sbno1,0.9478956420952017
96,Npas3,Arc,0.9478878342483492
13,Bcl6,5730559C18Rik,0.9477159714198946
179,Zfp449,Klf4,0.947635766227791
196,Zfp867,Nr4a1,0.947632224521186
20,Creb1,Ly6g6f,0.9475294806738794
156,Ttf1,Marcks,0.9474027874974773
213,Zfx,Phyhipl,0.947272407163619
70,Klf4,Taok3,0.9472183278769474
44,Fosb,Gm43322,0.9471593371656244
213,Zfx,S100a13,0.9471540903828373
43,Fos,Trim56,0.9470424330199411
33,Egr1,Sdc3,0.9467622773614335
43,Fos,Mlip,0.9463416713845549
42,Fos,Dbp,0.9460568832422631
156,Ttf1,Clmn,0.9460514125126804
182,Zfp551,Mbd4,0.9457815467780214
89,Myt1l,Anln,0.9457294610744159
68,Junb,Fam19a1,0.9457291341815192
70,Klf4,Akap17b,0.9454034250090426
104,Nr4a1,Fam126b,0.9453101926557205
136,Sox6,Arhgef6,0.9452273411946962
162,Zbtb4,Ddc,0.9448410110592671
179,Zfp449,Mycl,0.9448079289364962
160,Zbtb16,Fbn2,0.9446802342532281
70,Klf4,Herc3,0.9443911667637204
175,Zfp318,Tcp11l1,0.9440032443163527
212,Zfx,Zfp930,0.9433514119187558
213,Zfx,Specc1,0.9430007103288917
13,Bcl6,Tub,0.9428207204843356
96,Npas3,Synm,0.9427494989374574
78,Mbd4,Spock3,0.9425763906481852
162,Zbtb4,Eps8,0.942417237581646
13,Bcl6,Arrb1,0.9423079338604919
27,Ddit3,Wfdc18,0.9422271037675153
172,Zfp292,Slc15a3,0.942220307817507
26,Dbp,Lrrtm2,0.941904067216016
26,Dbp,Dlx1,0.9418995562399252
9,Atf3,Taf2,0.941837923411088
71,Klf6,Atg14,0.9416001837561175
70,Klf4,Cers4,0.9412245511782671
68,Junb,Gm5292,0.9412063812722197
172,Zfp292,Gm44067,0.9409465518581496
28,Dlx1,Nat14,0.9409423095047645
72,Klf9,Synm,0.9409067005617803
154,Tsc22d1,Kcnab1,0.9409015639393472
126,Setdb1,Aprt,0.9404632170961552
172,Zfp292,Cyyr1,0.940362673034936
175,Zfp318,Tubb2b,0.940342969657974
26,Dbp,Arc,0.9401733948516536
21,Csrnp3,Utp14b,0.9399128324656485
16,Cdc5l,Tubb4b,0.9397284590500636
44,Fosb,Zfp292,0.9394377563480539
77,Mafb,Etaa1,0.9393029516801755
9,Atf3,Itpr1,0.9392723734282191
154,Tsc22d1,Taok3,0.9391534233883404
96,Npas3,Smc1a,0.9388763774796582
157,Tub,Nppc,0.9388730008205954
99,Nr1d2,Grm5,0.9388038936908703
157,Tub,Tppp3,0.9387346564680222
9,Atf3,Gstp1,0.938715800357971
13,Bcl6,Igsf8,0.9386774508042098
70,Klf4,Gm43322,0.9385827955716689
172,Zfp292,Ago1,0.9385785975735411
175,Zfp318,1700112J16Rik,0.9384839600043816
127,Setdb2,Gria3,0.9384309763332156
98,Nr1d1,Ubc,0.9383526164807915
180,Zfp449,Gpr37l1,0.9383388640369683
16,Cdc5l,Klf4,0.9380362652607267
160,Zbtb16,Vgf,0.9378729405171531
16,Cdc5l,Vamp5,0.9377717772326339
109,Pknox2,Ttc3,0.9377638245439749
71,Klf9,Fos,0.937592868906996
67,Jun,Brinp2,0.9374533744033834
98,Nr1d1,Wfdc18,0.9374443244194436
67,Junb,Dlx1,0.9371817487198463
85,Mybl1,Abtb2,0.9371313281978042
96,Npas3,Gm36935,0.9370294293580047
158,Tulp3,Ephb1,0.9369619597850681
62,Ikzf2,Enc1,0.9369308389581247
158,Tulp3,Cep83,0.9365495577824783
111,Pou3f2,Tuba1a,0.9363982072649815
150,Thrb,Meg3,0.9359310306898986
149,Tef,Fam189a2,0.9356548280287641
149,Tef,Gatsl2,0.9355032424177601
27,Ddit3,Cep164,0.9352907094721928
20,Creb1,Ermn,0.9350525263549488
136,Sox6,Golga4,0.9345877104011041
70,Klf4,Taf3,0.9345371788212519
213,Zfx,Itsn2,0.9342261641201053
77,Mafb,Timp4,0.934166761908976
70,Klf4,Sbno1,0.9341328462882428
70,Klf4,Sox6,0.9340406809284971
70,Klf4,Gm37034,0.9339259341244481
197,Zfp867,Akap7,0.9339218920138985
62,Ikzf2,Gm26910,0.9336073204079127
86,Mycl,Dtd2,0.9335332824010482
20,Creb1,Gm42756,0.9332441721634891
153,Tsc22d1,Jun,0.9328362052625244
66,Irx1,Grm5,0.9327209760633782
156,Ttf1,Rell1,0.9320388836126056
16,Cdc5l,Rbm28,0.9317508045437403
111,Pou3f2,Aprt,0.9317417261078192
70,Klf4,Tpr,0.9315667137186635
156,Ttf1,Sepp1,0.9315055357342179
9,Atf3,Nkx2-2,0.931129210601468
180,Zfp449,Fabp7,0.9304625465568742
28,Dlx1,Cep162,0.9304438115270597
157,Tub,Sgms1,0.9304315107480696
154,Tsc22d1,Trpc5,0.9303404338521233
96,Npas3,Atp1a2,0.9302284237942396
68,Junb,Erich3,0.9301852991664383
27,Ddit3,Smc6,0.9301771357714379
44,Fosb,Osbpl7,0.930123854786895
213,Zfx,Rgcc,0.9299700212798341
96,Npas3,Ina,0.9298499370376423
98,Nr1d1,Enc1,0.9295931217363292
69,Klf4,Dbp,0.9295839176478415
98,Nr1d1,Srgap3,0.929343468414588
154,Tsc22d1,Fdx1,0.9287742575142202
71,Klf6,Taf7,0.9286855969337946
33,Egr1,Upf2,0.9286681421040579
212,Zfx,Tub,0.928574867202244
77,Mafb,Sgk1,0.9282141302766486
126,Setdb1,Crnde,0.9277267044003754
27,Ddit3,Timp4,0.9276296336181592
33,Egr1,mt-Rnr2,0.9273166403137362
78,Mbd4,B3galt5,0.9273062240984112
78,Mbd4,Specc1,0.9271609789074917
157,Tub,Grk5,0.9270684152260567
62,Ikzf2,Nipsnap1,0.9269405166105577
155,Ttf1,Klf6,0.9269124535657475
126,Setdb1,Phactr3,0.9265358863285292
94,Nkx2-2,Gm17251,0.9264950426156677
62,Ikzf2,Rab3ip,0.926485626331168
98,Nr1d1,RP24-163K4.3,0.9264548228967613
126,Setdb1,Qpct,0.9261898957617447
98,Nr1d1,Tubb4b,0.9261842661411746
26,Dbp,9530059O14Rik,0.9259471985009288
171,Zfp292,Thrb,0.925896131699099
66,Irx1,Bsg,0.925532211418176
154,Tsc22d1,Sclt1,0.92546300448587
89,Myt1l,Arrb1,0.9253420638648189
98,Nr1d1,B230206H07Rik,0.9252498135869218
127,Setdb2,S100a13,0.9250239719175593
68,Junb,Gm44292,0.9249726630370633
162,Zbtb4,Dusp1,0.9245641728556527
94,Nkx2-2,Mlip,0.9245122669642237
157,Tub,Fam126b,0.924347247076753
89,Myt1l,Slx4ip,0.9243141471746551
203,Zfp930,Clmn,0.9241826863990151
126,Setdb2,Npas3,0.9240745912040536
89,Myt1l,Snhg4,0.9238482071454227
156,Ttf1,Atp10b,0.9237845072320657
9,Atf3,Prkcdbp,0.9234710051996202
28,Dlx1,Nolc1,0.9234198736398754
99,Nr1d2,Nlrc4,0.9233322639016418
213,Zfx,Etaa1,0.9233142744384297
67,Jun,Rasd1,0.9232595004587559
126,Setdb1,Akap7,0.92298309969317
44,Fosb,Rasd1,0.9226929267510968
9,Atf3,Nipbl,0.9225392578816408
156,Ttf1,Ceacam1,0.9224501971051152
86,Mycl,Sowahc,0.9223182037889502
67,Jun,Atrx,0.9222703492998354
43,Fos,Traf4,0.9220095420265573
20,Creb1,Mns1,0.9219727091839004
77,Mafb,Hsph1,0.921652064230218
175,Zfp318,Zfp36,0.9214535255913329
213,Zfx,Rbm28,0.9214051032317491
203,Zfp930,Traf4,0.9213457206061153
160,Zbtb16,Utp14b,0.9211943179334362
43,Fos,Baz1b,0.9209550242699467
89,Myt1l,Pkd1l3,0.9209425610843057
149,Tef,Gm42731,0.9207931016546607
171,Zfp292,Junb,0.9207398234404834
62,Ikzf2,Lbh,0.9205204985758133
67,Jun,Rarres2,0.9200472621332483
85,Mybl1,Gigyf2,0.9200291142620192
27,Ddit3,Tcf7,0.9195691622428744
162,Zbtb4,Timp4,0.919418222239487
84,Mybl1,Dbp,0.9193749004229973
213,Zfx,Gm43242,0.9193654309190742
43,Fos,Arrb1,0.9192612358346797
157,Tub,Ifitm7,0.9191770112246301
157,Tub,Etnppl,0.919174405273555
70,Klf4,Nipbl,0.9186841995266646
68,Junb,Soga3,0.9186320900052607
71,Klf6,Idua,0.91858543895859
111,Pou3f2,Hsph1,0.9184079865271779
26,Dbp,Fabp7,0.9182746156365593
43,Fos,Zbtb16,0.9182421099765569
127,Setdb2,Ddc,0.9181460120696874
127,Setdb2,Actb,0.9180496580342874
127,Setdb2,Grm5,0.9180097174639389
175,Zfp318,Specc1,0.9179314228752188
72,Klf9,Smyd5,0.9175480289957834
175,Zfp318,Sapcd1,0.9174864891921269
71,Klf6,Per2,0.9174019685824357
203,Zfp930,Gm14946,0.9173836339937137
126,Setdb1,Tub,0.9173315179686177
32,Egr1,Creb1,0.9168094350049585
26,Dbp,Tigd2,0.9167730097873439
43,Fos,Eif2b1,0.9165994376180849
89,Myt1l,Sgk1,0.916303500755099
86,Mycl,Zbtb4,0.9161409307955034
96,Npas3,Lrrc42,0.9160430235340014
154,Tsc22d1,Utp3,0.91596960549255
150,Thrb,Rian,0.915937654424176
98,Nr1d1,Nrcam,0.9159270327349052
27,Ddit3,Tank,0.915886659691631
16,Cdc5l,Zmym6,0.9158833030615269
89,Myt1l,Ncald,0.9158580956907859
43,Fos,Ascc3,0.915817604798049
213,Zfx,Hspa1b,0.9152875993080316
180,Zfp449,AC149090.1,0.9151759789006357
146,Tcf7,A230009B12Rik,0.9150633267999841
86,Mycl,Fgfr3,0.9146623468840048
68,Junb,A230001M10Rik,0.9146185770820193
135,Sox6,Nr1d1,0.9145846829408997
28,Dlx1,Arap2,0.9143716424554802
96,Npas3,Gm26728,0.914355705356954
84,Mybl1,Klf6,0.9143086609771776
213,Zfx,Dynll2,0.9141172249791173
43,Fos,Golga4,0.914053010284077
172,Zfp292,C1ql3,0.9139847320322042
50,Gm14418,B3galt5,0.9139387121558022
156,Ttf1,Adcy1,0.9139127432510527
150,Thrb,Matn4,0.9138995535092564
172,Zfp292,Flnc,0.9138873650258119
94,Nkx2-2,Arc,0.9137033087616209
67,Jun,Rps12,0.9136030000341552
158,Tulp3,Tubb4b,0.9135058228994284
26,Dbp,Cers4,0.9133587308077653
71,Klf6,Rnf20,0.9132193216664288
213,Zfx,Slc1a2,0.9132100276711196
43,Fos,Elfn1,0.9131505571607802
43,Fos,0610009L18Rik,0.9127295142790373
26,Dbp,Tma16,0.9125774043564301
50,Gm14418,Mylpf,0.9124213145902573
78,Mbd4,Phactr3,0.9122144524571104
110,Pou3f2,Fos,0.9119759399877864
71,Klf6,Osbpl7,0.9118778411373043
9,Atf3,Smc3,0.9117651948441542
98,Nr1d1,Socs3,0.911621438109085
203,Zfp930,Gstp1,0.9115093947004841
203,Zfp930,Fam126b,0.9106924746138142
172,Zfp292,Map3k5,0.9106590279017662
126,Setdb1,RP23-459B8.2,0.9106250368370452
158,Tulp3,Specc1,0.9106109161939414
86,Mycl,Ankrd6,0.9099946105119451
154,Tsc22d1,Gm17807,0.9098043497084276
183,Zfp551,Bmpr1a,0.9096412955773899
32,Egr1,Dbp,0.9093482073829829
68,Junb,Golga4,0.9092289345169061
126,Setdb1,Prkdc,0.909098929971665
104,Nr4a1,Ahsa2,0.9090070278989772
172,Zfp292,Pkd2l1,0.9086866866167936
62,Ikzf2,Anxa9,0.9086411145779506
172,Zfp292,Spire1,0.908517850412125
67,Jun,Elfn1,0.9081746083857885
98,Nr1d1,Nktr,0.9080996737107763
154,Tsc22d1,Ezh2,0.9078903127234743
213,Zfx,Traf4,0.907848584361837
13,Bcl6,Chd3,0.9075158389035186
127,Setdb2,Susd4,0.9071416037006574
72,Klf9,Cldn10,0.906912965478258
126,Setdb1,Spry1,0.9068653799547546
13,Bcl6,Synm,0.9067665693575773
72,Klf9,Cdkn1a,0.9066516181830105
27,Ddit3,C1ql3,0.9065472116820805
86,Mycl,Col11a1,0.9062777064948127
78,Mbd4,Pde4d,0.906193391116007
197,Zfp867,Baz1b,0.9061499810063098
33,Egr1,Fkbp5,0.9058626708175634
68,Junb,Srgap1,0.9056929819576827
70,Klf4,Phyhipl,0.9056621194410894
62,Ikzf2,Hspa4l,0.9055535297553998
213,Zfx,Galnt7,0.9055430200290104
72,Klf9,2810013P06Rik,0.9055273932937256
98,Nr1d2,Nkx2-2,0.9055249965999461
94,Nkx2-2,Tmem220,0.9053673445658923
94,Nkx2-2,Ythdc1,0.905327359038366
175,Zfp318,Gm37645,0.9050716579931065
160,Zbtb16,C1ql3,0.905056811463335
89,Myt1l,Rab33a,0.9050126505565014
68,Junb,Fut9,0.9047925577100032
157,Tub,B930082K07Rik,0.9042324261499973
27,Ddit3,Pank1,0.9040698835667219
70,Klf4,Atp10b,0.9040202432023867
85,Mycl,Ikzf2,0.903986764078735
157,Tub,Zfp930,0.9038694531701952
13,Bcl6,Urgcp,0.9038192910436597
158,Tulp3,Cd59a,0.9037362494631767
160,Zbtb16,Sepp1,0.9034963550469639
20,Creb1,Pde4d,0.9033870873700067
99,Nr1d2,Chrna4,0.9030475416551365
160,Zbtb16,Ttc3,0.902817767658294
9,Atf3,Gm2822,0.902811135882636
43,Fos,2810013P06Rik,0.9025548413645539
156,Ttf1,Upf3b,0.9025469929669909
160,Zbtb16,Fam189a2,0.902375543789357
156,Ttf1,Eps8,0.9020173505905789
97,Nr1d1,Npas3,0.9019776659857685
70,Klf4,Zbtb16,0.9019497271402706
68,Junb,RP24-121L4.7,0.9016073184466854
43,Fos,Sdc3,0.9014817859111754
136,Sox6,Gm43242,0.9013817539490512
67,Jun,Mllt3,0.9012092319991795
77,Mafb,Map7d2,0.9010389228971336
89,Myt1l,March1,0.9009190160801298
71,Klf6,Ankub1,0.9006122319932569
68,Junb,Sgk1,0.9003520452857114
62,Ikzf2,Hspa1b,0.9003459478991264
161,Zbtb4,Fos,0.9003336631527455
62,Ikzf2,Ncald,0.8999434233060832
86,Mycl,Taf2,0.8997744659125821
99,Nr1d2,Sh3bp4,0.8996836043719578
175,Zfp318,Cep19,0.8995181674684216
99,Nr1d2,Mtcl1,0.8994317249968147
183,Zfp551,Clip1,0.8992839264138132
72,Klf9,Gm8925,0.8992111081090816
159,Zbtb16,Tulp3,0.8992077414427537
162,Zbtb4,Dynll1,0.8992049708930222
172,Zfp292,Camsap2,0.8991879557215579
156,Ttf1,H1f0,0.8991426321195096
28,Dlx1,Phyhipl,0.898876336673265
158,Tulp3,Zc3h6,0.8987200705537037
72,Klf9,Usp18,0.8985369905004509
183,Zfp551,Cers4,0.898451848468401
13,Bcl6,Eps8,0.8984128224930494
21,Csrnp3,Spef2,0.8983389452031366
68,Junb,Dlgap1,0.898254603655546
154,Tsc22d1,3222401L13Rik,0.898213602303221
154,Tsc22d1,Fam84b,0.8979179035311124
160,Zbtb16,Trpc5,0.8976743241570204
16,Cdc5l,Prkcdbp,0.8976156588722148
162,Zbtb4,Parg,0.8974134787241103
215,Zkscan14,Ly6g6f,0.897408094946174
162,Zbtb4,Ntpcr,0.8971124423885335
85,Mybl1,Upf2,0.8969408595897895
44,Fosb,Nr1d2,0.8969063721351799
16,Cdc5l,Spire1,0.8968508737953353
71,Klf6,Fbn2,0.8967704747816603
180,Zfp449,Rgcc,0.896592600561249
175,Zfp318,Herc3,0.8965387499821651
99,Nr1d2,Manba,0.8963764087779587
162,Zbtb4,Asic1,0.8963679542529037
13,Bcl6,Vim,0.8962044607680152
28,Dlx1,Klf4,0.8960563642741498
104,Nr4a1,Zbtb4,0.8955509163075902
72,Klf9,Btg2,0.8955027644607898
9,Atf3,Ly6g6f,0.895154481731916
33,Egr1,Prkar2b,0.8951340012392196
67,Jun,Lcp2,0.8951193495598071
72,Klf9,Rps12,0.8950455207137942
111,Pou3f2,Midn,0.8946885239182295
156,Ttf1,Itpr1,0.8946343141816853
70,Klf4,Mpzl1,0.894569350341231
159,Zbtb16,Junb,0.8942722228795131
180,Zfp449,Proser3,0.8940388827909201
33,Egr1,Brinp2,0.8939609920183607
71,Klf6,Sparc,0.8938101820415569
149,Tef,Cobl,0.8933951170467382
53,Gsx1,Zfp318,0.8933224986030244
96,Npas3,H2-D1,0.8932764942212092
13,Bcl6,Hsp90aa1,0.8930613223143203
126,Setdb1,Fgd3,0.8930267368251812
68,Junb,RP23-459B8.2,0.8930259550050559
156,Ttf1,Arhgef6,0.892990134824027
162,Zbtb4,Gm7467,0.8928656544850646
71,Klf6,Enc1,0.8927830124248269
98,Nr1d1,Slco1c1,0.8927122510022915
203,Zfp930,Marcks,0.8924113709081214
213,Zfx,Zfyve16,0.8922802538107443
28,Dlx1,Ralgps2,0.8921971762540727
43,Fos,Sgms1,0.8921411228066827
85,Mybl1,Slc38a2,0.8920739944150863
20,Creb1,Sass6,0.8918496991490275
197,Zfp867,Ophn1,0.8918245806465398
86,Mycl,Taf7,0.8918020794511025
16,Cdc5l,Gxylt1,0.8917962301286239
160,Zbtb16,Nktr,0.8910691530918169
16,Cdc5l,Rapgef3os2,0.8909978841780976
172,Zfp292,Fbxw23,0.8909514522602061
149,Tef,Ptprb,0.8907010537124349
85,Mybl1,Synm,0.8906508808952023
213,Zfx,Kank3,0.8906341128624636
27,Ddit3,Spire1,0.8905362410094333
85,Mybl1,Stk4,0.8902837291085066
43,Fos,Pou3f2,0.8901887676820547
160,Zbtb16,Arc,0.8901088872068131
175,Zfp318,Slc1a2,0.8900884764782997
203,Zfp930,Gpr37l1,0.890027439027306
127,Setdb2,2810013P06Rik,0.8898178316830769
13,Bcl6,Ophn1,0.8897904619974811
104,Nr4a1,Ankub1,0.889779160276126
16,Cdc5l,Ccdc73,0.8896324331578397
99,Nr1d2,Slc1a3,0.8896125704374864
21,Csrnp3,Tha1,0.8894468597514076
154,Tsc22d1,Itsn2,0.8889714554787256
43,Fos,Ephb1,0.8888648454310346
20,Creb1,Rapgef3os2,0.8888409716121146
21,Csrnp3,Clip1,0.8887083468471816
86,Mycl,Map3k5,0.8882532474273875
154,Tsc22d1,Srgap1,0.8882157148045957
28,Dlx1,Ddc,0.8876601939989548
111,Pou3f2,Vgf,0.8873524886146529
44,Fosb,Grm5,0.8869782477959031
70,Klf4,S100a1,0.8869574619295315
160,Zbtb16,Cep83,0.8868460789671077
27,Ddit3,Thsd7a,0.8868419371557369
172,Zfp292,Ccdc73,0.8867965368615977
126,Setdb1,Zbtb4,0.8867919322904964
43,Fos,Cdr2,0.8865568357712147
67,Jun,Htt,0.8862798975298527
66,Irx1,Gad1,0.886179606036343
85,Mybl1,Myo10,0.8861190235885444
149,Tef,Fbn2,0.8860729149591671
149,Tef,Rsf1,0.8859063964385825
99,Nr1d2,Asic1,0.8851921677807228
16,Cdc5l,Nr1d2,0.8848984729937641
156,Ttf1,Gpr17,0.8846629542390463
67,Jun,Fam189a2,0.8846204397998568
160,Zbtb16,Fdx1,0.8845423625750021
94,Nkx2-2,Parg,0.8845216571227723
111,Pou3f2,4632415L05Rik,0.8843760585143243
160,Zbtb16,Gas8,0.8842687327561777
44,Fosb,Taf3,0.884268374914211
44,Fosb,Akap7,0.8842175126408826
68,Junb,Itsn2,0.8842068839957612
149,Tef,Kcnd2,0.8839677865444711
154,Tsc22d1,Wdr66,0.8839402253548914
71,Klf6,Susd5,0.8838349544146441
33,Egr1,Map3k5,0.883739949926245
26,Dbp,Tubb2b,0.8836268610677814
183,Zfp551,Atxn7,0.8834477617654296
126,Setdb1,Tppp3,0.8833055332178046
13,Bcl6,Frat2,0.882936277560992
96,Npas3,Ascc3,0.8829141403342936
13,Bcl6,Prkar2b,0.882801293276582
26,Dbp,S100a13,0.8827832500809756
20,Creb1,Gatsl2,0.8827298374514393
104,Nr4a1,Galnt13,0.8823395138207384
16,Cdc5l,RP23-226C6.3,0.8822939476009195
135,Sox6,Junb,0.8822577149512545
33,Egr1,Rspry1,0.881929939408481
172,Zfp292,Prkar2b,0.8818088033872254
33,Egr1,Nrap,0.8816053364924048
111,Pou3f2,Tppp3,0.8815772684973471
156,Ttf1,Meg3,0.881558923641854
154,Tsc22d1,Bptf,0.8814943734488603
53,Gsx1,Smc6,0.8811260042357374
86,Mycl,Zmym6,0.8810100979242369
21,Csrnp3,Chn2,0.8809604245005839
136,Sox6,Socs3,0.8808096791935798
175,Zfp318,Slc35f1,0.8805856268046431
43,Fos,Pdzd2,0.8805269203895744
104,Nr4a1,Ilf3,0.8800997068857302
104,Nr4a1,Vipr2,0.8794479269662375
13,Bcl6,Tnfrsf13c,0.8793145199390654
162,Zbtb4,Ankrd26,0.8792872779765302
158,Tulp3,Synm,0.8791638537505894
71,Klf6,Ezh2,0.8791070254212261
99,Nr1d2,Atp1a2,0.8790719129448038
72,Klf9,RP23-226C6.3,0.8789959202584273
127,Setdb2,Cnot4,0.8788597268077942
104,Nr4a1,Socs1,0.8786673869767718
162,Zbtb4,Bptf,0.8784068240961238
67,Jun,Fgd3,0.878262255856733
98,Nr1d1,Tnfaip1,0.8780775696246681
180,Zfp449,Susd5,0.8779608863381864
126,Setdb1,Bptf,0.8778883879477085
33,Egr1,Taf3,0.8778433318644974
44,Fosb,Uri1,0.8775390482849612
96,Npas3,Setdb2,0.877525280809196
98,Nr1d1,0610009L18Rik,0.8775134776023282
172,Zfp292,Smoc1,0.8773085032926907
180,Zfp449,Mt1,0.877295894413709
70,Klf6,Gsx1,0.8772824019009499
9,Atf3,Sh3kbp1,0.8771534566232254
62,Ikzf2,Syt16,0.8770146441803691
66,Jun,Creb1,0.8770125984711518
149,Tef,Dtd2,0.8758095640880814
13,Bcl6,Sox6,0.8757675521545535
99,Nr1d2,H1f0,0.8751261578646607
215,Zkscan14,Nipbl,0.8748963302983742
85,Mybl1,C1ql3,0.8748071941325372
96,Npas3,Eif2b1,0.8746938526875971
71,Klf6,Sass6,0.8746421109627642
72,Klf9,Gm11229,0.8746176322651921
16,Cdc5l,Asic1,0.8743908062311955
96,Npas3,Zfp318,0.8742734011982337
157,Tulp3,Sox6,0.8742317166728049
109,Pknox2,Sox6,0.8741425252890243
33,Egr1,Zfp930,0.8738012008200848
104,Nr4a1,Atp10b,0.8737995697216273
175,Zfp318,Hsp90aa1,0.8737656513146279
33,Egr1,Sdccag8,0.8737032322629211
68,Junb,Tspan6,0.8735735514491533
71,Klf6,5730559C18Rik,0.8735659623439619
13,Bcl6,Cadm1,0.8734118327689618
180,Zfp449,Gpr17,0.87324264766627
26,Dbp,Acer2,0.873132409287883
43,Fos,Cyyr1,0.872847493583901
71,Klf6,Specc1,0.8727703539851701
89,Myt1l,Smc3,0.8726234971931115
20,Creb1,Mllt3,0.8723005220198541
160,Zbtb16,Rgs2,0.8719281086317356
26,Dbp,Col9a3,0.8712565462216683
203,Zfp930,Dynll2,0.8711306800672998
44,Fosb,Rars,0.871028313270656
85,Mybl1,Gm13689,0.87078163949359
43,Fos,Zkscan14,0.8707540687197599
175,Zfp318,Mphosph10,0.8707351656910827
9,Atf3,Mpzl1,0.8705914315253019
213,Zfx,Myo10,0.8702250436539303
99,Nr1d2,Slc35f1,0.8701316394489432
153,Tsc22d1,Dbp,0.8699079924128039
171,Zfp292,Nkx2-2,0.8697971672293107
197,Zfp867,Rars,0.8697171088795284
9,Atf3,Rell1,0.8697026858224934
9,Atf3,Per2,0.8696952075110467
13,Bcl6,Gria3,0.8693581211336774
27,Ddit3,Vcl,0.8693324595945293
99,Nr1d2,Anxa9,0.8692991700459275
183,Zfp551,Upf2,0.8692887968630403
85,Mybl1,Hmgn5,0.8692885394481601
99,Nr1d2,5730559C18Rik,0.8691155440267564
197,Zfp867,Zfx,0.86897056381077
78,Mbd4,Celf4,0.8689190038034575
13,Bcl6,Itsn1,0.8687511315344043
96,Npas3,Slx4ip,0.8687502743727078
71,Klf6,Tigd2,0.8687076614257501
21,Csrnp3,Smoc1,0.8686551967910611
197,Zfp867,Tmem163,0.8684894917700468
9,Atf3,Sdccag8,0.867787607737777
27,Ddit3,Rbm11,0.8674908277542951
67,Jun,Spry1,0.8674144720631737
85,Mybl1,Mpzl1,0.8672060277770862
67,Jun,Tdo2,0.8670802001559572
126,Setdb1,Fbn2,0.8670685230980747
99,Nr1d2,Timp4,0.866996492440277
68,Junb,Rarres2,0.8668688481456475
99,Nr1d2,Plcb1,0.8668229876564371
94,Nkx2-2,Asic1,0.8661796508038633
68,Junb,Pkd2l1,0.8661486734126213
94,Nkx2-2,Urgcp,0.866118028652563
43,Fos,Adgrb3,0.8659701944332666
86,Mycl,Hmgn5,0.8656619543348516
26,Dbp,Kank3,0.8655370155833891
136,Sox6,Plin4,0.865290732459568
136,Sox6,Erich1,0.8651567113453934
127,Setdb2,Arap2,0.8650188837772845
20,Creb1,Kcnk13,0.8648792072016891
89,Myt1l,Tnfaip6,0.8645839552333525
126,Setdb1,Galnt7,0.8644569101065495
21,Csrnp3,Sox6,0.864425105880634
